hr,weather_desc,is_member,temp_bin,wind_bin,duration_mean,count
0,cloudy,N,"(68.958, 76.042]","[12.24, 24.48)",17.809599934415477,2.4975429975429977
0,cloudy,N,"(68.958, 76.042]","[24.48, 36.72)",18.511760697737806,1.5024570024570025
0,cloudy,N,"(76.042, 83.127]","[0.0, 12.24)",18.3875889817394,1.3230958230958232
0,cloudy,N,"(76.042, 83.127]","[12.24, 24.48)",17.941182795698925,2.4754299754299756
0,cloudy,N,"(76.042, 83.127]","[24.48, 36.72)",16.890494791666665,0.15724815724815724
0,cloudy,N,"(83.127, 90.212]","[0.0, 12.24)",19.08948220064725,0.12653562653562653
0,cloudy,N,"(83.127, 90.212]","[12.24, 24.48)",18.98836382113821,0.40294840294840295
0,cloudy,Y,"(26.449, 33.534]","[0.0, 12.24)",9.007264957264958,0.04791154791154791
0,cloudy,Y,"(26.449, 33.534]","[12.24, 24.48)",9.142948717948718,0.12776412776412777
0,cloudy,Y,"(33.534, 40.618]","[0.0, 12.24)",9.42840579710145,0.4238329238329238
0,cloudy,Y,"(33.534, 40.618]","[12.24, 24.48)",9.623773265651439,0.48402948402948404
0,cloudy,Y,"(40.618, 47.703]","[0.0, 12.24)",9.81124469589816,0.8685503685503686
0,cloudy,Y,"(40.618, 47.703]","[12.24, 24.48)",9.599133749133749,0.5909090909090909
0,cloudy,Y,"(47.703, 54.788]","[0.0, 12.24)",10.052808727948003,0.8820638820638821
0,cloudy,Y,"(47.703, 54.788]","[12.24, 24.48)",10.355155010814709,1.703931203931204
0,cloudy,Y,"(47.703, 54.788]","[24.48, 36.72)",9.651603375527426,0.9705159705159705
0,cloudy,Y,"(54.788, 61.873]","[0.0, 12.24)",11.413679468942627,2.590909090909091
0,cloudy,Y,"(54.788, 61.873]","[12.24, 24.48)",10.879843475483149,2.563882063882064
0,cloudy,Y,"(54.788, 61.873]","[24.48, 36.72)",10.641467304625198,0.25675675675675674
0,cloudy,Y,"(61.873, 68.958]","[0.0, 12.24)",11.497457546269796,4.292383292383293
0,cloudy,Y,"(61.873, 68.958]","[12.24, 24.48)",11.86095302619693,4.533169533169533
0,cloudy,Y,"(61.873, 68.958]","[24.48, 36.72)",11.49114114114114,0.4090909090909091
0,cloudy,Y,"(68.958, 76.042]","[0.0, 12.24)",12.039145177825093,10.385749385749385
0,cloudy,Y,"(68.958, 76.042]","[12.24, 24.48)",11.983125171185977,7.475429975429975
0,cloudy,Y,"(68.958, 76.042]","[24.48, 36.72)",11.8925,3.194103194103194
0,cloudy,Y,"(76.042, 83.127]","[0.0, 12.24)",12.723533869651392,3.5122850122850124
0,cloudy,Y,"(76.042, 83.127]","[12.24, 24.48)",12.421436532913715,6.245700245700245
0,cloudy,Y,"(76.042, 83.127]","[24.48, 36.72)",13.072772277227724,0.6203931203931204
