weather_desc,is_member,duration_mean,count,start_station_name,end_station_name
cloudy,N,15.25,1,Dandurand / de Lorimier,Alexandre-DeSève / de Maisonneuve
fog,Y,14.66,10,de la Gauchetière / Mansfield,Ste-Catherine / St-Hubert
cloudy,Y,13.466666666666667,1,St-Alexandre / Ste-Catherine,Waverly / St-Viateur
cloudy,Y,10.233333333333333,2,Roy / St-Laurent,de la Gauchetière / de Bleury
cloudy,Y,16.083333333333332,1,Gauthier / Papineau,de Maisonneuve / de Bleury
rain,N,33.35,1,Square Ahmerst / Wolfe,de Bordeaux / Marie-Anne
mist,Y,9.966666666666667,1,Waverly / St-Viateur,de l'Esplanade / Laurier
mist,Y,6.733333333333333,1,de la Gauchetière / de Bleury,Drummond / Ste-Catherine
cloudy,Y,8.233333333333333,1,Chabot / du Mont-Royal,du Parc-La Fontaine / Duluth
sky is clear,Y,9.3,1,Hutchison / Sherbrooke,Villeneuve / St-Urbain
cloudy,Y,7.766666666666667,1,Métro George-Vanier (St-Antoine / Canning),St-Mathieu /Ste-Catherine
cloudy,Y,15.945833333333333,4,de Bordeaux / Rachel,Place de la paix ( Pl. du marché / St-Dominique )
fog,Y,9.983333333333333,1,Berri / Gilford,Hutchison / Edouard Charles
cloudy,Y,13.233333333333333,1,Greene / St-Ambroise,Wolfe / René-Lévesque
cloudy,Y,7.483333333333333,1,Boyer / Rosemont,Alma / Beaubien
cloudy,Y,14.6,1,des Érables / Bélanger,Métro Laurier (Rivard / Laurier)
cloudy,Y,24.5,1,Casgrain / de Bellechasse,de Gaspé / St-Viateur
cloudy,Y,25.95,1,Tupper / Atwater,Girouard / Terrebonne
cloudy,Y,30.908333333333335,2,Rousselot / Villeray,de la Montagne / Sherbrooke
mist,Y,15.05,1,Marquette / du Mont-Royal,Alma / Beaubien
cloudy,N,8.891666666666667,2,Square St-Louis,Hutchison/ Prince-Arthur
mist,Y,77.26666666666667,1,St-Cuthbert / St-Urbain,Hudson / de Kent
cloudy,Y,2.533333333333333,1,Poupart / Ontario,Ontario / du Havre
cloudy,Y,12.783333333333333,1,Villeneuve / St-Urbain,St-André / de Maisonneuve
cloudy,Y,4.833333333333333,1,Métro Mont-Royal (Rivard / du Mont-Royal),Coloniale / du Mont-Royal
sky is clear,Y,5.05,4,Wolfe / Robin,Métro Papineau (Cartier / Ste-Catherine)
cloudy,Y,5.911111111111111,3,Fullum / Sherbrooke ,Plessis / Ontario
sky is clear,Y,11.966666666666667,1,Montcalm / de Maisonneuve,St-Jacques / St-Pierre
cloudy,Y,4.3,3,St-Nicolas / Place d'Youville,Ann / William
cloudy,Y,22.766666666666666,1,4e avenue / Masson,Square St-Louis
cloudy,N,12.179166666666667,4,Fullum / Sherbrooke ,Resther / du Mont-Royal
mist,Y,11.133333333333333,1,du Mont-Royal / Clark,de Bordeaux / Marie-Anne
cloudy,Y,7.533333333333333,1,Jeanne Mance / du Mont-Royal,Drolet / Laurier
cloudy,Y,11.333333333333334,1,Dandurand / de Lorimier,de Gaspé / St-Viateur
cloudy,Y,17.62777777777778,3,St-André / Ontario,Marché Maisonneuve
