start_date_hr,start_station_code,is_member,start_station_count,end_station_count,duration_mean,name,percentile,vacancy,type
0,5002,N,0.007371007371007371,0.0085995085995086,17.45277777777778,St-Charles / Châteauguay,10,0.0012285012285012283,h
0,5002,Y,0.004914004914004914,0.022113022113022112,21.4875,St-Charles / Châteauguay,10,0.0171990171990172,h
1,5002,Y,0.0012285012285012285,0.0085995085995086,7.95,St-Charles / Châteauguay,10,0.007371007371007371,h
2,5002,N,0.0085995085995086,0.020884520884520884,11.364285714285716,St-Charles / Châteauguay,10,0.012285012285012284,h
2,5002,Y,0.006142506142506142,0.0036855036855036856,24.736666666666668,St-Charles / Châteauguay,10,-0.0024570024570024565,h
3,5002,N,0.013513513513513514,0.014742014742014743,28.196969696969695,St-Charles / Châteauguay,10,0.0012285012285012283,h
4,5002,N,0.006142506142506142,0.018427518427518427,5.136666666666667,St-Charles / Châteauguay,10,0.012285012285012286,h
4,5002,Y,0.0012285012285012285,0.002457002457002457,7.616666666666666,St-Charles / Châteauguay,10,0.0012285012285012285,h
6,5002,Y,0.02334152334152334,0.02702702702702703,8.262280701754387,St-Charles / Châteauguay,20,0.0036855036855036882,h
7,5002,Y,0.27764127764127766,0.020884520884520884,6.836061946902655,St-Charles / Châteauguay,60,-0.2567567567567568,h
8,5002,Y,0.18427518427518427,0.02334152334152334,10.927999999999999,St-Charles / Châteauguay,50,-0.16093366093366093,h
9,5002,N,0.022113022113022112,0.002457002457002457,16.614814814814814,St-Charles / Châteauguay,20,-0.019656019656019656,h
9,5002,Y,0.11179361179361179,0.029484029484029485,10.901831501831502,St-Charles / Châteauguay,40,-0.0823095823095823,h
10,5002,N,0.0171990171990172,0.011056511056511056,53.588095238095235,St-Charles / Châteauguay,10,-0.006142506142506143,h
10,5002,Y,0.11056511056511056,0.02334152334152334,8.92037037037037,St-Charles / Châteauguay,40,-0.08722358722358722,h
11,5002,N,0.018427518427518427,0.013513513513513514,42.41444444444445,St-Charles / Châteauguay,20,-0.004914004914004913,h
11,5002,Y,0.08722358722358722,0.04914004914004914,10.961502347417841,St-Charles / Châteauguay,40,-0.038083538083538086,h
12,5002,N,0.019656019656019656,0.0171990171990172,40.62291666666667,St-Charles / Châteauguay,20,-0.0024570024570024565,h
12,5002,Y,0.08476658476658476,0.038083538083538086,12.319323671497585,St-Charles / Châteauguay,40,-0.046683046683046674,h
13,5002,N,0.033169533169533166,0.02702702702702703,46.41358024691358,St-Charles / Châteauguay,20,-0.006142506142506138,h
13,5002,Y,0.04668304668304668,0.06388206388206388,17.05482456140351,St-Charles / Châteauguay,30,0.017199017199017202,h
14,5002,N,0.03194103194103194,0.02457002457002457,46.41474358974359,St-Charles / Châteauguay,20,-0.007371007371007373,h
14,5002,Y,0.07248157248157248,0.09582309582309582,14.46864406779661,St-Charles / Châteauguay,30,0.02334152334152334,h
15,5002,N,0.042997542997543,0.03562653562653563,31.33,St-Charles / Châteauguay,20,-0.0073710073710073695,h
15,5002,Y,0.07002457002457002,0.11425061425061425,17.880994152046785,St-Charles / Châteauguay,30,0.04422604422604423,h
16,5002,N,0.04054054054054054,0.02457002457002457,31.14090909090909,St-Charles / Châteauguay,20,-0.015970515970515974,h
16,5002,Y,0.05528255528255528,0.2800982800982801,20.43259259259259,St-Charles / Châteauguay,30,0.22481572481572482,h
17,5002,N,0.04914004914004914,0.051597051597051594,31.48625,St-Charles / Châteauguay,30,0.0024570024570024565,h
17,5002,Y,0.06142506142506143,0.2334152334152334,15.325333333333333,St-Charles / Châteauguay,30,0.17199017199017197,h
18,5002,N,0.025798525798525797,0.029484029484029485,47.11349206349207,St-Charles / Châteauguay,20,0.0036855036855036882,h
18,5002,Y,0.06265356265356266,0.23587223587223588,12.944771241830065,St-Charles / Châteauguay,30,0.17321867321867324,h
19,5002,N,0.02702702702702703,0.0343980343980344,43.8469696969697,St-Charles / Châteauguay,20,0.0073710073710073695,h
19,5002,Y,0.04054054054054054,0.09950859950859951,15.661616161616163,St-Charles / Châteauguay,20,0.05896805896805897,h
20,5002,N,0.036855036855036855,0.044226044226044224,22.163888888888888,St-Charles / Châteauguay,20,0.0073710073710073695,h
20,5002,Y,0.028255528255528257,0.05773955773955774,12.273188405797102,St-Charles / Châteauguay,20,0.02948402948402948,h
21,5002,N,0.01597051597051597,0.036855036855036855,25.907692307692308,St-Charles / Châteauguay,10,0.020884520884520884,h
21,5002,Y,0.028255528255528257,0.03562653562653563,9.781884057971014,St-Charles / Châteauguay,20,0.007371007371007373,h
22,5002,N,0.011056511056511056,0.02334152334152334,30.562962962962963,St-Charles / Châteauguay,10,0.012285012285012284,h
22,5002,Y,0.014742014742014743,0.020884520884520884,8.418055555555556,St-Charles / Châteauguay,10,0.006142506142506141,h
23,5002,N,0.006142506142506142,0.0171990171990172,8.013333333333334,St-Charles / Châteauguay,10,0.011056511056511058,h
23,5002,Y,0.0171990171990172,0.030712530712530713,15.232142857142858,St-Charles / Châteauguay,10,0.013513513513513514,h
0,5003,N,0.012285012285012284,0.014742014742014743,15.381666666666666,Place Longueuil,10,0.0024570024570024582,h
0,5003,Y,0.004914004914004914,0.036855036855036855,15.083333333333334,Place Longueuil,10,0.03194103194103194,h
1,5003,Y,0.009828009828009828,0.045454545454545456,27.283333333333335,Place Longueuil,10,0.03562653562653563,h
2,5003,N,0.0012285012285012285,0.009828009828009828,51.71666666666667,Place Longueuil,10,0.0085995085995086,h
2,5003,Y,0.0012285012285012285,0.012285012285012284,4.683333333333334,Place Longueuil,10,0.011056511056511056,h
